SI.NO,PART NO,SKU Number,PART NAME,QUANTITY,LOCATION,CATEGORY CODE,SUB CATEGORY DIGIT,Item Number,Unique Serial,Description /Specifications,Storage Details,Product Dimensions (for shipping),Product Weight (GRAMS),Minimum Stock Level,Images / Links,User,Date ,Comments,Product Family,
109,975979000002451718,B10011,ARM KIT/ARM ACCESSORIES PACK,10,D,B Kits,ARM KIT/ARM ACCESSORIES PACK,1,1,"This is EFT Arm Kit 30mm Arm Clamp/6pcs Compatible with E610P. It is a set of six clamps designed specifically for use with the E610P drone model. These clamps are intended to secure or fasten parts with a 30mm diameter, likely components related to the arms or structural elements of the drone.",,38cm x 44cm x 36cm,220,,https://drive.google.com/drive/folders/1jZ9eIxmMExcBFrIHzlbtkvByGg1exe7e,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
110,975979000002451800,B20011,TANK SCREW PACK,20,E,B Kits,TANK SCREW PACK,1,1,"The EFT Tank Screw Pack includes four durable M6x45mm screws, designed for compatibility with all drone frames. These high-strength screws provide secure fastening for critical drone components, ensuring stability and reliability during flight. Made from robust materials, they are resistant to wear and corrosion, making them ideal for both casual and professional drone use. Perfect for securing frame parts",,38cm x 44cm x 36cm,70,,https://drive.google.com/drive/folders/1EKbj0CUIzkP5iK2OYlewBVETvaI-TQUh,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
111,975979000002451700,B30021,DRONE ARM SCREW PACK,15,E,B Kits,DRONE ARM SCREW PACK,2,1,"This is EFT Arm Screw Pack M5*50/6pcs Compatible with E610P 35mm/30mm, a set of screws intended for use with drone arms, used in assembling or securing components of the drone. The assembly provides structural support and stability to the drone, often holding the motors, propellers, and other components. These screws are designed for securing or assembling drone arms for the mentioned drone models.",,38cm x 44cm x 36cm,60,,https://drive.google.com/drive/folders/17FKv7AbReF0Nf0GHNQ678N3XmAYahm9x,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
112,975979000003134338,130081,PLUG FIXTURE XT 90,6,F,1 Mechanical,Covers & Brackets,8,1,"This is EFT Plug Holder XT90/1pcs Compatible with all Drone Frames, a single holder designed to be compatible with all drone frames. This holder likely serves to secure or manage XT90 plugs, commonly used in drone systems for power connections or other related electrical components.",,38cm x 44cm x 36cm,25,,https://drive.google.com/drive/folders/1G5aFH0LFDxS425qL3xevDHbrdSUkhVJ-,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
113,,130091,DRONE ARM LOCKING CAP,20,G,1 Mechanical,Covers & Brackets,9,1,"This is EFT Arm Lock Cap Ï†35/4pcs Compatible with E610P 35mm/30mm, typically utilized to hold or tighten specific parts in place within the droneâ€™s structure, ensuring stability and preventing dislodging or movement during operation or assembly. The specific design and function may vary based on the drone model and the intended application within the armâ€™s structure or assembly process.These are the caps designed for drone EFT arm locking used in securing or fastening components of the drone arms.",,38cm x 44cm x 36cm,140,,https://drive.google.com/drive/folders/1xWDc1oZTrvDpCA1ai3w-4dLBpiHVlT9z,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
114,,150031,LANDING GEAR MOUNTING PARTS,20,H,1 Mechanical,Covers & Brackets,10,1,This is EFT Landing Gear Mount Ï†20/EP/4pcs Compatible with all Drone Frames. It is a set of four mounts designed to be compatible with all drone frames. These mounts likely serve to attach or secure landing gear with a 20mm diameter to various drone frames for stability and landing support.,,38cm x 44cm x 36cm,190,,https://drive.google.com/drive/folders/1zpF8MIP3aiC-uEdaUSYmG7u2wZq7h6YB,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
115,,260031,NOZZLE ADAPTER,20,I,2 Pressure & Vacuum,Fittings & Couplings,3,1,"This is EFT Nozzle X6 Adapter/4pcs Compatible with E610P. It is a set of four adapters designed to be compatible with the E610P drone model. These adapters serve to attach or connect specific parts or components, possibly related to the droneâ€™s propulsion system or nozzle mechanisms.",,38cm x 44cm x 36cm,43,,https://drive.google.com/drive/folders/15M9clQE8ulxwzNqnQRt5t43zw2a5e-eg,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
116,,510021,FLIGHT CONTROL BOARD,10,J,5 Flight Controllers & Electronics,Flight Controllers,2,1,"This is EFT Flight Control Mounting Board 1.5mm/E6P/2pcs Compatible with E610P/E616P. The EFT Flight Control Mounting Board is a component designed for use with specific drone models, E610P and E616P.

This board serves as a mounting surface or base for the flight control system within the drone structure. With a thickness of 1.5mm, these boards are intended to securely hold and mount the flight control system in the specified drone models.",,38cm x 44cm x 36cm,60,,https://drive.google.com/drive/folders/16tvLP37S6ZDOFIHMt8dOp2-4lY7wcwVg,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
117,,570011,POWER DISTRIBUTION BOARD,17,J,5 Flight Controllers & Electronics,Power Management & Distribution,1,1,"The EFT Power Distribution Board (PDB) is a robust and reliable solution designed specifically for six-axis agricultural drones in the EFT E Series. It ensures efficient power management and distribution, enabling seamless operations for pesticide spraying and plant protection tasks.",,38cm x 44cm x 36cm,116,,https://drive.google.com/drive/folders/1lmtclpTmyez0UnY5uxHrAFCTvLhsYpNq,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
118,,520031,R24T VP,5,K,5 Flight Controllers & Electronics,Electronic Boards,3,1,,,38cm x 44cm x 36cm,,,,,,,EFT Parts,
