SI.NO,PART NO,SKU Number,PART NAME,QUANTITY,LOCATION,CATEGORY CODE,SUB CATEGORY DIGIT,Item Number,Unique Serial,Description /Specifications,Storage Details,Product Dimensions (for shipping),Product Weight (GRAMS),Minimum Stock Level,Images / Links,User,Date ,Comments,Product Family,
1,YC.JG.ZS001436.07,940011,GImbal Upper Vibration Board,4,Dock Room,9 Frames & Protective Covers,Gimbal & Vibration Boards,1,1,,,,,,,,,,Mavic,
2,YC.JG.ZS001433.07,940021,GImbal Lower Vibration Board,5,Dock Room,9 Frames & Protective Covers,Gimbal & Vibration Boards,2,1,,,,,,,,,,Mavic,
3,YC.JG.ZS001363.03,920011,Aircraft Front Cover,1,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,1,1,,,,,,,,,,Mavic,
4,YC.JG.ZS001380.04,920021,Aircraft Port Cover,5,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,2,1,,,,,,,,,,Mavic,
5,BC.EN.SS000533.01,950011,Aircraft arm module (Front Left),4,Dock Room,9 Frames & Protective Covers,Aircraft Arm Modules,1,1,,,,,,,,,,Mavic,
6,BC.MA.SS000413.01,950021,Aircraft arm module (Front Right),5,Dock Room,9 Frames & Protective Covers,Aircraft Arm Modules,2,1,,,,,,,,,,Mavic,
7,BC.MA.SS000416.01,950031,Aircraft Arm module (Rear Left),5,Dock Room,9 Frames & Protective Covers,Aircraft Arm Modules,3,1,,,,,,,,,,Mavic,
8,BC.MA.SS000417.01,950041,Aircraft arm module (Rear Right),5,Dock Room,9 Frames & Protective Covers,Aircraft Arm Modules,4,1,,,,,,,,,,Mavic,
9,YC.JG.ZS001353.06,920031,Axis Cover(Rear Right),4,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,3,1,,,,,,,,,,Mavic,
10,YC.JG.ZS001354.06,920041,Axis Cover(Rear Left),4,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,4,1,,,,,,,,,,Mavic,
11,YC.JG.ZS001356.07,920051,Axis Cover(Front Right),4,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,5,1,,,,,,,,,,Mavic,
12,YC.JG.ZS001358.07,920061,Axis Cover(Front Left),4,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,6,1,,,,,,,,,,Mavic,
13,YC.JG.ZS001383.05,920071,Bottom Shell Baffle,4,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,7,1,,,,,,,,,,Mavic,
14,YC.JG.ZS001352.05,920081,Arm Rotating Axis Cable Cover(Rear Right),3,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,8,1,,,,,,,,,,Mavic,
15,YC.JG.ZS001355.06,920091,Arm Rotating Axis Cable Cover(Rear Left),3,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,9,1,,,,,,,,,,Mavic,
86,,030011,Engine Oil Kit,1,Warehouse,0 Fasteners & Miscellaneous,Lubricants & Consumables,1,1,,,,,,,,,,AGRAS DRONES,
17,BC.MA.PP00581.03,630011,Compass Module,4,Dock Room,6 Sensors & Radars,Compass Modules,1,1,,,,,,,,,,Mavic,
18,BC.MA.SS000402.01,620011,Downward Infrared sensing system module,4,Dock Room,6 Sensors & Radars,Infrared Sensors,1,1,,,,,,,,,,Mavic,
19,BC.EN.SS000528.01,920101,Aircraft Upper Cover Module,0,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,10,1,,,,,,,,,,Mavic,
20,YC.JG.ZS000725.02,920111,Rear Cover of Aircraft,19,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,11,1,,,,,,,,,,Mavic,
21,YC.SJ.MQ000133.02,930011,Upper Cover Right Dust Proof Mesh,20,Dock Room,9 Frames & Protective Covers,Dust-proof Mesh,1,1,,,,,,,,,,Mavic,
22,YC.JG.HG000007.01,170011,Rear Aircraft Arm Rotation Axis,38,Dock Room,1 Mechanical,Gears & Rotation Axes,1,1,,,,,,,,,,Mavic,
23,YG.SJ.MQ000132.02,930021,Upper Cover Left Dust Proof Mesh,20,Dock Room,9 Frames & Protective Covers,Dust-proof Mesh,2,1,,,,,,,,,,Mavic,
24,YC.WJ.CC000178.02,170021,Front Aircraft Arm Rotation Axis,38,Dock Room,1 Mechanical,Gears & Rotation Axes,2,1,,,,,,,,,,Mavic,
25,YC.JG.ZS001398.04,920121,Arm Led Cover,24,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,12,1,,,,,,,,,,Mavic,
26,BC.MA.SS000241.01,#N/A,Rear Propellers,20,Dock Room,7 Motors & Propellers,Propellers ,1,1,,,,,,,,,,Mavic,
27,BC.MA.SS000242.01,#N/A,Front Propellers,20,Dock Room,7 Motors & Propellers,Propellers ,2,1,,,,,,,,,,Mavic,
28,YC.JG.TT000060.02,150011,Spring (Eject Mechanism),9,Dock Room,1 Mechanical,Springs & Mechanisms,1,1,,,,,,,,,,Mavic,
29,YC.JG.ZS001403.05,920131,Left Cover (Eject Mechanism),4,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,13,1,,,,,,,,,,Mavic,
30,YC.JG.ZS001405.05,920141,Right Cover (Eject Mechanism),3,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,14,1,,,,,,,,,,Mavic,
31,YC.JG.ZS001412.05,150021,Bounce Block (Eject Mechanism),7,Dock Room,1 Mechanical,Springs & Mechanisms,2,1,,,,,,,,,,Mavic,
32,BC.EN SS000545.01,560011,ESC Board Module,4,Dock Room,5 Flight Controllers & Electronics,ESC & Motor-Drive Boards,1,1,,,,,,,,,,Mavic,
33,YC.DZ.AF000064.01,180011,Fan (4058),4,Dock Room,1 Mechanical,Fans & Misc. Mechanical,1,1,,,,,,,,,,Mavic,
51,YC.SJ.WS001305.02,050011,Front Aircraft Arm Gasket,7,Dock Room,0 Fasteners & Miscellaneous,"Nuts, Washers & Locking Hardware",1,1,,,,,,,,,,Mavic,
35,YC.JG.BJ000713.02,130011,Downward Infrared sensing system Fixing Piece,5,Dock Room,1 Mechanical,Covers & Brackets,1,1,,,,,,,,,,Mavic,
36,YC.JG.BJ000728.02,130021,Fixing Piece (Short),5,Dock Room,1 Mechanical,Covers & Brackets,2,1,,,,,,,,,,Mavic,
37,YC.JG.BJ000731.02,130031,Fixing Piece (Long),5,Dock Room,1 Mechanical,Covers & Brackets,3,1,,,,,,,,,,Mavic,
38,YC.JG.BJ000785.03,130041,ESC Board Mounting Piece,4,Dock Room,1 Mechanical,Covers & Brackets,4,1,,,,,,,,,,Mavic,
34,YC.JG.BJ000041,080011,Vision Board 30 pin Cable Connector Mounting Piece,5,Dock Room,0 Fasteners & Miscellaneous,"Pins, Keys & Retaining Clips",1,1,,,,,,,,,,Mavic,
40,YC.JG.BJ000789.02,580051,Core Board 4-in01 Fixing Piece(Backward Vision Sensor),6,Dock Room,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,5,1,,,,,,,,,,Mavic,
41,YC.JG.MQ000900.01,580061,Shielding PC Piece(ESC Board),6,Dock Room,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,6,1,,,,,,,,,,Mavic,
42,YC.JG.MQ000775.02,580071,ESC Conductive Silicone Rubber,24,Dock Room,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,7,1,,,,,,,,,,Mavic,
43,YC.JG.MY000457.02,580081,Silicone Rubber Ring(ESC Board),14,Dock Room,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,8,1,,,,,,,,,,Mavic,
44,YC.JG.MY000468.01,580091,Fisheye Sensor Sealing Silicone Rubber,13,Dock Room,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,9,1,,,,,,,,,,Mavic,
45,BC.EN.PP000734.02.,580101,Flexible Flat Cable Connecting Core board and beacon board,5,Dock Room,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,10,1,,,,,,,,,,Mavic,
46,BC.MA.PP000421.02,580111,Flexible Flat Cable (Downward infrared sensing system -core board),5,Dock Room,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,11,1,,,,,,,,,,Mavic,
47,BC.MA.PP000337.03,580121,Flexible Flat Cable (Downward Vision sensor Module),5,Dock Room,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,12,1,,,,,,,,,,Mavic,
48,YC.JG.ZS003241.03,130051,Gimbal Protector,5,Dock Room,1 Mechanical,Covers & Brackets,5,1,,,,,,,,,,Mavic,
49,BC.EN.SS000529.01,520011,PS Board Module,5,Dock Room,5 Flight Controllers & Electronics,Electronic Boards,1,1,,,,,,,,,,Mavic,
50,YC.JG.SR000021.05,140011,Aircraft Core Board Heat SInk Module,5,Dock Room,1 Mechanical,Heat Sinks & Cooling,1,1,,,,,,,,,,Mavic,
39,YC.JG.BJ000786,080021,Core Board Fixing Piece (Wi-Fi Cable),5,Dock Room,0 Fasteners & Miscellaneous,"Pins, Keys & Retaining Clips",2,1,,,,,,,,,,Mavic,
52,YC.JG.ZS001125.03,#N/A,Propeller(CW),0,Dock Room,7 Motors & Propellers,Propellers ,3,1,,,,,,,,,1 given to DMO team,Mavic,
53,YC.JG.ZS001126.03,#N/A,Propeller(CCW),0,Dock Room,7 Motors & Propellers,Propellers ,4,1,,,,,,,,,2 given to DMO team,Mavic,
54,YC.JG.HG000008.03,170031,Aircraft Arm Rotating Axis(Front Right),4,Dock Room,1 Mechanical,Gears & Rotation Axes,3,1,,,,,,,,,,Mavic,
55,YC.JG.HG000009.04,170041,Aircraft Arm Rotating Axis(Rear Left and Rear Right),8,Dock Room,1 Mechanical,Gears & Rotation Axes,4,1,,,,,,,,,,Mavic,
56,YC.JG.HG000010.03,170051,Aircraft Arm Rotating Axis(Front Left),4,Dock Room,1 Mechanical,Gears & Rotation Axes,5,1,,,,,,,,,,Mavic,
57,YC.ST.LL000131.03,010011,Screw M16,56,Dock Room,0 Fasteners & Miscellaneous,Screws & Bolts,1,1,,,,,,,,,,Mavic,
58,YC.ST.LL000152.02,010021,Screw T16,140,Dock Room,0 Fasteners & Miscellaneous,Screws & Bolts,2,1,,,,,,,,,,Mavic,
59,YC.WJ.L01147.01,010031,Screw T16,28,Dock Room,0 Fasteners & Miscellaneous,Screws & Bolts,3,1,,,,,,,,,,Mavic,
60,YC.WJ.LL000271.01,010041,Screw M14,161,Dock Room,0 Fasteners & Miscellaneous,Screws & Bolts,4,1,,,,,,,,,,Mavic,
61,YC.WJ.LL000437.01,010051,Screw M12,12,Dock Room,0 Fasteners & Miscellaneous,Screws & Bolts,5,1,,,,,,,,,,Mavic,
62,YC.ST.LL000130.02,010061,Screw T16,182,Dock Room,0 Fasteners & Miscellaneous,Screws & Bolts,6,1,,,,,,,,,,Mavic,
63,YC.WJ.Z02539.01,010071,1.5mm Hexagonal Socket Wrench,3,Dock Room,0 Fasteners & Miscellaneous,Screws & Bolts,7,1,,,,,,,,,,Mavic,
64,YC.BZ.TZ000570.01,010081,Aircraft Arm Protective Sticker (Rear Left),6,Dock Room,0 Fasteners & Miscellaneous,Screws & Bolts,8,1,,,,,,,,,,Mavic,
65,YC.BZ.TZ000571.01,010091,Aircraft Protective Sticker(Left),6,Dock Room,0 Fasteners & Miscellaneous,Screws & Bolts,9,1,,,,,,,,,,Mavic,
16,YC.BZ.TZ00941.02,040011,Aircraft CE Sticker,6,Dock Room,0 Fasteners & Miscellaneous,"Stickers, Labels & Films ",1,1,,,,,,,,,,Mavic,
66,YC.BZ.TZ000579.01,040021,Aircraft Arm Protective Sticker (Rear Right),6,Dock Room,0 Fasteners & Miscellaneous,"Stickers, Labels & Films ",2,1,,,,,,,,,,Mavic,
67,YC.BZ.TZ000580.01,040031,Aircraft Protective Sticker(Right),6,Dock Room,0 Fasteners & Miscellaneous,"Stickers, Labels & Films ",3,1,,,,,,,,,,Mavic,
68,YC.BZ.TZ000768.01,040041,Gimbal Roll-Axis Arm Protective Sticker,12,Dock Room,0 Fasteners & Miscellaneous,"Stickers, Labels & Films ",4,1,,,,,,,,,,Mavic,
69,YC.BZ.TZ000940.02,040051,Screen Protective Film,6,Dock Room,0 Fasteners & Miscellaneous,"Stickers, Labels & Films ",5,1,,,,,,,,,,Mavic,
70,YC.JG.MQ000999.03,040061,Conductive Mat(Fisheye Bracket),6,Dock Room,0 Fasteners & Miscellaneous,"Stickers, Labels & Films ",6,1,,,,,,,,,,Mavic,
71,YC.JG.MQ001205,040071,Shielding Acetate Mat,2,Dock Room,0 Fasteners & Miscellaneous,"Stickers, Labels & Films ",7,1,,,,,,,,,,Mavic,
73,YC.JG.ZS001378,130061,WifI Heat Sink Bracket,5,Dock Room,1 Mechanical,Covers & Brackets,6,1,,,,,,,,,,Mavic,
74,BC.EN.PP000733.03,520021,Beacon Board,5,Dock Room,5 Flight Controllers & Electronics,Electronic Boards,2,1,,,,,,,,,,Mavic,
75,BC.EN.SS000531.01,910011,MIddle Frames Module,3,Dock Room,9 Frames & Protective Covers,Aircraft Frames,1,1,,,,,,,,,,Mavic,
76,BC.MA.PP000423.04,540011,Auxilary Bottom Light Board,4,Dock Room,5 Flight Controllers & Electronics,LEDs & Lights,1,1,,,,,,,,,,Mavic,
77,BC.MA.PP000458.04,580131,Battery In-Position Module,5,Dock Room,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,13,1,,,,,,,,,,Mavic,
78,,420902,DJI D9000i Generator,3,Warehouse,4 Power Supplies,Generators,90,25,,,,,,,,,,AGRAS DRONES,
79,,A10011,DJI Agras T10,4,Warehouse,A  UAV,     Agriculture Drones                    ,1,1,,,,,,,,,,AGRAS DRONES,
80,,310011,DJI Agras T10 Battery,3,Warehouse,3 Electrochemical Devices,Batteries,1,10,,,,,,,,,,AGRAS DRONES,
81,,160011,DJI Agras T10 Spray Tank,4,Warehouse,1 Mechanical,Tanks & Containers,1,1,,,,,,,,,,AGRAS DRONES,
82,,220011,DJI Agras T10 Spreading System,2,Warehouse,2 Pressure & Vacuum,Pneumatic & Spraying Kits,1,1,,,,,,,,,,AGRAS DRONES,
83,,A10021,DJI Agras T30 without Battery,2,Warehouse,A  UAV,     Agriculture Drones                    ,2,1,,,,,,,,,,AGRAS DRONES,
84,,430033,DJI Agras T30 Battery Station,1,Warehouse,4 Power Supplies,Battery Stations,3,30,,,28x39x40,130000,,,,,,AGRAS DRONES,
85,,220021,DJI Agras T30 Spreading System,4,Warehouse,2 Pressure & Vacuum,Pneumatic & Spraying Kits,2,1,,,,,,,,,,AGRAS DRONES,
